song_id,song_name,popularity,danceability,energy,valence,acousticness,speechiness,artists,is_billboard
5c0Vl3yklw5WX9YI36dPLd,That's On Me,64,0.803,0.648,0.538,0.0288,0.198,Yella Beezy,False
3EQ9QP2E7wjYQba8OSPBst,Intro,61,0.678,0.76,0.24,0.0557,0.221,Meek Mill,True
6pUBrvKfJL4qmn95mxU7rC,Respect The Game,58,0.603,0.67,0.159,0.0871,0.25,Meek Mill,True
45CCe4gu08OYG1I4MH8TU6,Trauma,57,0.682,0.639,0.183,0.0284,0.292,Meek Mill,True
1bx4Jw8A7GQtImIQGccI6D,Almost Slipped,56,0.49,0.651,0.46,0.246,0.251,Meek Mill,True
3EikYy40GMSp8l5mDV6IQo,Foot Fungus,72,0.881,0.623,0.745,0.257,0.119,Ski Mask The Slump God,True
39RWYLt6hgk9BbhkDgaHW9,Crush A Lot,59,0.92,0.458,0.403,0.0171,0.315,Lil Baby,True
0jqLv5PuEUA0GthFjdtlS1,Oodles O' Noodles Babies,55,0.609,0.836,0.584,0.593,0.264,Meek Mill,True
7cW1wHpSLYgKWzoWlOCPFJ,Global,60,0.672,0.565,0.313,0.106,0.441,Lil Baby,True
52i143Ph5c3RQaQFBXWix1,Word On The Street,58,0.888,0.432,0.173,0.0562,0.0934,Lil Baby,True
2G7V7zsVDxg1yRsu7Ew9RJ,In My Feelings,82,0.835,0.626,0.35,0.0589,0.125,Drake,True
2Kpc6hdJqHCG2tt0JW9pyl,Lose It,70,0.544,0.854,0.436,0.00245,0.0289,Kane Brown,True
42fw0rxRO2xbesF6mJfd4Y,Tequila,73,0.489,0.581,0.494,0.0312,0.0281,Dan + Shay,True
0TlLq3lA83rQOYtrqBqSct,Nonstop,81,0.912,0.412,0.422,0.0164,0.124,Drake,True
0At2qAoaVjIwWNAqrscXli,Boo'd Up,74,0.561,0.779,0.235,0.0862,0.0531,Ella Mai,True
5aXgz1oKK8Q9z9xvTmSnrO,Topanga,75,0.755,0.615,0.039,0.00587,0.0454,Trippie Redd,True
7wC5eZcFS1Q1BsQ35DU6H4,come out and play,75,0.64,0.321,0.177,0.693,0.0931,Billie Eilish,False
04ZTP5KsCypmtCmQg5tH9R,I'm a Mess,80,0.63,0.694,0.216,0.00281,0.0253,Bebe Rexha,True
6CyJlVAEFlNdpggOLanytL,Hangin' On,66,0.434,0.831,0.596,0.0651,0.0453,Chris Young,True
4H0vNUFcHPz5lytcLjwqkr,Rich,61,0.565,0.855,0.852,0.0445,0.0557,Maren Morris,True
2oPCR02nduYVpj7CTfsA0d,Blue Tacoma,72,0.455,0.897,0.728,0.0183,0.0403,Russell Dickerson,True
7hDVYcQq6MxkdJGweuCtl9,ocean eyes,82,0.511,0.363,0.169,0.816,0.041,Billie Eilish,True
7zLYKWcXnYeHHWidalz7rj,Noticed,80,0.699,0.558,0.493,0.462,0.0603,Lil Mosey,True
1wjzFQodRWrPcQ0AnYnvQ9,I Like Me Better,82,0.752,0.505,0.419,0.535,0.253,Lauv,False
3ee8Jmje8o58CHK66QrVC2,SAD!,84,0.74,0.613,0.473,0.258,0.145,XXXTENTACION,True
